OpenAir St.Gallen vom 25.06.2026 bis zum 28.06.2026;;;;
#;Name;Untertitel;Preis für 3 Nächte;Preis pro Nacht
45;Wohnung in Arbon;Ruhiges Loft am Park (Anliegerstrasse) - Bodensee;CHF 759;CHF 75.90
46;Zimmer in St. Gallen;Schönes Zimmer in der Nähe des Stadtzentrums;CHF 383;CHF 38.30
47;Zimmer in Egnach;Idyllisches Plätzchen in Thurgauer Weiler;CHF 1’012;CHF 101.20
48;Wohnung in Gossau;Ferienwohnung Hirschen;CHF 1’563;CHF 156.30
49;Wohnung in Sankt Gallen;1. Modernes Apartment 2 Min vom Bahnhof;CHF 1’720;CHF 172.00
50;Wohnung in St. Gallen;hübsche Wohnung mit Sonnenterrasse;CHF 980;CHF 98.00
51;Wohnung in St. Gallen;Stadtstudio;CHF 1’019;CHF 101.90
52;Wohnung in St. Gallen;Zentrales Studio | 5 Min. zum Bahnhof;CHF 1’468;CHF 146.80
53;Wohnung in St. Gallen;Ferien auf dem Billenberghof;CHF 1’635;CHF 163.50
54;Wohnung in Herisau;Charmante Wohnung mit Blick zum Säntis;CHF 1’834;CHF 183.40
55;Wohnung in St. Gallen;Appartment mit luxeriösem Bad;CHF 1’372;CHF 137.20
56;Zimmer in Zihlschlacht-Sitterdorf;Schmuckes Zimmer (Bett 140x200 ) nahe REHA Klinik;CHF 418;CHF 41.80
57;Unterkunft in Wittenbach;Ruhiger Ort auf dem Dorfhügel.;CHF 461;CHF 46.10
58;Zimmer in Wittenbach;Ruhiger Ort auf dem Dorfhügel Wittenbach;CHF 381;CHF 38.10
59;Zimmer in Sankt Gallen;Casa Siddhartha - R. Musil;CHF 497;CHF 49.70
60;Wohnung in St. Gallen;BLIV: Design-Apartment mit Parkplatz, nahe Zentrum;CHF 3’070;CHF 307.00
61;Eigentumswohnung in Rorschach;Grosszügige Garten-Wohnung;CHF 1’740;CHF 174.00
62;Privatunterkunft in St. Gallen;Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum;CHF 2’366;CHF 236.60
63;Zimmer in Heiden;Zwei helle Zimmer, Küche und Bad;CHF 840;CHF 84.00
64;Wohnung in St. Gallen;Stilvolle Wohnung, historischer Charme/Altstadt;CHF 2’500;CHF 250.00
65;Wohnung in St. Gallen;Zentrales Studio | 5 Min. zum Bahnhof;CHF 1’468;CHF 146.80
66;Wohnung in St. Gallen;TouchBed | Budget-Studio;CHF 1’237;CHF 123.70
67;Wohnung in Arbon;Charmante und zentrale Wohnung am Weiherpark Arbon;CHF 1’390;CHF 139.00
68;Unterkunft in St. Gallen;TouchBed | Budget Einzelzimmer;CHF 897;CHF 89.70
69;Eigentumswohnung in Rorschach;Genieße den Seeblick von der Dachterrasse;CHF 1’666;CHF 166.60
70;Wohnung in St. Gallen;Historisches Penthouse-Apartment in der Altstadt;CHF 1’793;CHF 179.30
71;Eigentumswohnung in Rorschach;Gelb, gelb, gelb, gelb!;CHF 1’596;CHF 159.60
72;Wohnung in St. Gallen;St Gallen City- 5 min. vom Bahnhof- klein & fein;CHF 1’619;CHF 161.90
73;Gästehaus in Wittenbach;Säntiszimmer;CHF 438;CHF 43.80
74;Zimmer in Speicherschwendi;Zimmer Bulli;CHF 554;CHF 55.40
75;Wohnung in St. Gallen;BLIV: Exklusive Dachgeschosswohnung im Zentrum;CHF 2’854;CHF 285.40
76;Gästehaus in Freidorf;Gemütliche Ferienwohnung auf Bio Bauernhof;CHF 1’081;CHF 108.10
77;Zimmer in Arbon;"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah";CHF 594;CHF 59.40
78;Wohnung in Rorschach;Charmante, sehr zentral gelegene 4-Zimmerwohnung;CHF 1’990;CHF 199.00
79;Wohnung in Rehetobel;Zu Gast im Hecht Rehetobel;CHF 704;CHF 70.40
