category,name,original_price,discounted_price,price_per_night
Openair (25.06.2026 - 28.06.2026),"YELLOW INN B 27 nähe Uni, Olma, Spital, FHS",702 CHF,,702
Openair (25.06.2026 - 28.06.2026),Stilvolles Studio Apartment bei der Messe Olma,1’061 CHF,,1061
Openair (25.06.2026 - 28.06.2026),Dom Studio M ohne Reinigung,828 CHF,,828
Openair (25.06.2026 - 28.06.2026),book2stay 2.5-Zimmer Apartment #8 Säntis bis zu 6,1’528 CHF,,1528
Openair (25.06.2026 - 28.06.2026),Bijoux am Bodensee,204 CHF,,204
Openair (25.06.2026 - 28.06.2026),"Klara 1031 - Olma, Spital, Universität St. Gallen",1’097 CHF,,1097
Openair (25.06.2026 - 28.06.2026),"""Säntis"", ruhige Lage, freundl. Zimmer "", seenah.",230 CHF,,230
Openair (25.06.2026 - 28.06.2026),Doppelzimmer im Kurort Heiden,277 CHF,,277
OLMA (08.10.2026 - 18.10.2026),Das Haus mit dem Schwein,628 CHF,436 CHF,43.6
OLMA (08.10.2026 - 18.10.2026),"St.Gallen zentral, ruhig, bei Badeweihern und Wald",1’114 CHF,1’028 CHF,102.8
OLMA (08.10.2026 - 18.10.2026),Gemütliche Wohnung,851 CHF,779 CHF,77.9
OLMA (08.10.2026 - 18.10.2026),St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,843 CHF,773 CHF,77.3
OLMA (08.10.2026 - 18.10.2026),4 Zimmer mit Charme an bester Lage,1’306 CHF,,1306
OLMA (08.10.2026 - 18.10.2026),Zur Geduld (direkt am Bahnhof),884 CHF,706 CHF,70.6
OLMA (08.10.2026 - 18.10.2026),2. Modernes Apartment 2 Min vom Bahnhof,1’720 CHF,1’510 CHF,151
OLMA (08.10.2026 - 18.10.2026),Schönes Zimmer in der Nähe von HSG,656 CHF,600 CHF,60
OLMA (08.10.2026 - 18.10.2026),Historischer Charme in der Altstadt. Superior DZ,1’264 CHF,1’157 CHF,115.7
OLMA (08.10.2026 - 18.10.2026),Ferienwohnung im Fürstenland 2.OG,1’029 CHF,913 CHF,91.3
OLMA (08.10.2026 - 18.10.2026),Studio mit Panoramaaussicht,710 CHF,600 CHF,60
OLMA (08.10.2026 - 18.10.2026),1 Zimmerwohnung ohne Küche mitten im Zentrum,809 CHF,743 CHF,74.3
OLMA (08.10.2026 - 18.10.2026),BLIV: Grosszügiges Altbaujuwel im Zentrum,3’421 CHF,,3421
